time_period,ref_area,freq,measure,unit_measure,activity,adjustment,transformation,time_horiz,methodology,obs_value,unit_mult,decimals,obs_status
2008-02,TUR,M,LI,IX,_Z,AA,IX,_Z,H,104.1084,0,2,A
2008-03,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.4032,0,2,A
2008-04,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.4363,0,2,A
2008-05,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.234,0,2,A
2008-06,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.75724,0,2,A
2008-07,TUR,M,LI,IX,_Z,AA,IX,_Z,H,97.96169,0,2,A
2008-08,TUR,M,LI,IX,_Z,AA,IX,_Z,H,95.86763,0,2,A
2008-09,TUR,M,LI,IX,_Z,AA,IX,_Z,H,93.56579,0,2,A
2008-10,TUR,M,LI,IX,_Z,AA,IX,_Z,H,91.39376,0,2,A
2008-11,TUR,M,LI,IX,_Z,AA,IX,_Z,H,89.84203,0,2,A
2008-12,TUR,M,LI,IX,_Z,AA,IX,_Z,H,89.24305,0,2,A
2009-01,TUR,M,LI,IX,_Z,AA,IX,_Z,H,89.606,0,2,A
2009-02,TUR,M,LI,IX,_Z,AA,IX,_Z,H,90.77308,0,2,A
2009-03,TUR,M,LI,IX,_Z,AA,IX,_Z,H,92.49294,0,2,A
2009-04,TUR,M,LI,IX,_Z,AA,IX,_Z,H,94.42957,0,2,A
2009-05,TUR,M,LI,IX,_Z,AA,IX,_Z,H,96.22627,0,2,A
2009-06,TUR,M,LI,IX,_Z,AA,IX,_Z,H,97.63922,0,2,A
2009-07,TUR,M,LI,IX,_Z,AA,IX,_Z,H,98.62613,0,2,A
2009-08,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.30569,0,2,A
2009-09,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.82627,0,2,A
2009-10,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.2577,0,2,A
2009-11,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.645,0,2,A
2009-12,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.9837,0,2,A
2010-01,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.2382,0,2,A
2010-02,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.3563,0,2,A
2010-03,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.3943,0,2,A
2010-04,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.3705,0,2,A
2010-05,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.3186,0,2,A
2010-06,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.3279,0,2,A
2010-07,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.4249,0,2,A
2010-08,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.604,0,2,A
2010-09,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.7702,0,2,A
2010-10,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.9084,0,2,A
2010-11,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.0329,0,2,A
2010-12,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.1569,0,2,A
2011-01,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.2378,0,2,A
2011-02,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.1244,0,2,A
2011-03,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.9491,0,2,A
2011-04,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.7214,0,2,A
2011-05,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.4694,0,2,A
2011-06,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.2515,0,2,A
2011-07,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.1262,0,2,A
2011-08,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.1125,0,2,A
2011-09,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.1687,0,2,A
2011-10,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.1951,0,2,A
2011-11,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.2031,0,2,A
2011-12,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.1741,0,2,A
2012-01,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.1407,0,2,A
2012-02,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.1256,0,2,A
2012-03,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.0419,0,2,A
2012-04,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.8517,0,2,A
2012-05,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.636,0,2,A
2012-06,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.4247,0,2,A
2012-07,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.2632,0,2,A
2012-08,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.147,0,2,A
2012-09,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.0743,0,2,A
2012-10,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.0346,0,2,A
2012-11,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.0528,0,2,A
2012-12,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.1501,0,2,A
2013-01,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.3471,0,2,A
2013-02,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.6102,0,2,A
2013-03,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.8605,0,2,A
2013-04,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.0097,0,2,A
